score,label,group,algorithm
0.635072,1.000000,group_A,low_accuracy_system
0.560852,1.000000,group_A,low_accuracy_system
0.553081,1.000000,group_A,low_accuracy_system
0.631573,1.000000,group_A,low_accuracy_system
0.705037,1.000000,group_A,low_accuracy_system
0.641616,1.000000,group_A,low_accuracy_system
0.574767,1.000000,group_A,low_accuracy_system
0.455065,1.000000,group_A,low_accuracy_system
0.525979,1.000000,group_A,low_accuracy_system
0.538895,1.000000,group_A,low_accuracy_system
0.718969,1.000000,group_A,low_accuracy_system
0.390596,1.000000,group_A,low_accuracy_system
0.658140,1.000000,group_A,low_accuracy_system
0.554425,1.000000,group_A,low_accuracy_system
0.653065,1.000000,group_A,low_accuracy_system
0.411576,1.000000,group_A,low_accuracy_system
0.583871,1.000000,group_A,low_accuracy_system
0.660374,1.000000,group_A,low_accuracy_system
0.606812,1.000000,group_A,low_accuracy_system
0.697577,1.000000,group_A,low_accuracy_system
0.645588,1.000000,group_A,low_accuracy_system
0.629527,1.000000,group_A,low_accuracy_system
0.474634,1.000000,group_A,low_accuracy_system
0.559856,1.000000,group_A,low_accuracy_system
0.534865,1.000000,group_A,low_accuracy_system
0.586478,1.000000,group_A,low_accuracy_system
0.910498,1.000000,group_A,low_accuracy_system
0.572430,1.000000,group_A,low_accuracy_system
0.677482,1.000000,group_A,low_accuracy_system
0.661535,1.000000,group_A,low_accuracy_system
0.687777,1.000000,group_A,low_accuracy_system
0.677043,1.000000,group_A,low_accuracy_system
0.391826,1.000000,group_A,low_accuracy_system
0.607847,1.000000,group_A,low_accuracy_system
0.438762,1.000000,group_A,low_accuracy_system
0.446718,1.000000,group_A,low_accuracy_system
0.714979,1.000000,group_A,low_accuracy_system
0.594449,1.000000,group_A,low_accuracy_system
0.482337,1.000000,group_A,low_accuracy_system
0.473775,1.000000,group_A,low_accuracy_system
0.621980,1.000000,group_A,low_accuracy_system
0.409223,1.000000,group_A,low_accuracy_system
0.761952,1.000000,group_A,low_accuracy_system
0.681930,1.000000,group_A,low_accuracy_system
0.711297,1.000000,group_A,low_accuracy_system
0.737022,1.000000,group_A,low_accuracy_system
0.704409,1.000000,group_A,low_accuracy_system
0.745613,1.000000,group_A,low_accuracy_system
0.573252,1.000000,group_A,low_accuracy_system
0.628802,1.000000,group_A,low_accuracy_system
0.526275,1.000000,group_A,low_accuracy_system
0.802851,1.000000,group_A,low_accuracy_system
0.633252,1.000000,group_A,low_accuracy_system
0.665915,1.000000,group_A,low_accuracy_system
0.529522,1.000000,group_A,low_accuracy_system
0.570565,1.000000,group_A,low_accuracy_system
0.576513,1.000000,group_A,low_accuracy_system
0.520545,1.000000,group_A,low_accuracy_system
0.498725,1.000000,group_A,low_accuracy_system
0.707394,1.000000,group_A,low_accuracy_system
0.550371,1.000000,group_A,low_accuracy_system
0.631433,1.000000,group_A,low_accuracy_system
0.605445,1.000000,group_A,low_accuracy_system
0.548566,1.000000,group_A,low_accuracy_system
0.559864,1.000000,group_A,low_accuracy_system
0.687375,1.000000,group_A,low_accuracy_system
0.606608,1.000000,group_A,low_accuracy_system
